#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
62,Slovakia,"71,088","+2,354",317,+31,"16,990",+564,"53,781",218,"13,018",58,"870,094","159,341","5,460,570",Europe,77,"17,226",6
63,Uzbekistan,"68,139",+130,579,,"65,333",+79,"2,227",257,"2,026",17,"1,377,915","40,965","33,636,678",Asia,494,"58,094",24
64,Paraguay,"66,481",+703,"1,472",+10,"46,466",+672,"18,543",114,"9,281",206,"380,237","53,084","7,162,871",South America,108,"4,866",19
65,Libya,"66,444","+1,004",915,+8,"38,624",+514,"26,905",,"9,625",133,"339,650","49,199","6,903,589",Africa,104,"7,545",20
66,Tunisia,"66,334",,"1,577",,"36,727",,"28,030",269,"5,592",133,"368,787","31,091","11,861,529",Africa,179,"7,522",32
67,Ireland,"64,538",+492,"1,940",+7,"23,364",,"39,234",37,"13,020",391,"1,703,661","343,694","4,956,908",Europe,77,"2,555",3
68,Nigeria,"63,731",+223,"1,155",,"59,844",+96,"2,732",10,307,6,"673,183","3,238","207,880,458",Africa,"3,262","179,983",309
69,Azerbaijan,"62,338","+1,465",811,+17,"47,270",+805,"14,257",,"6,129",80,"1,417,368","139,355","10,170,942",Asia,163,"12,541",7
70,Croatia,"62,305","+2,890",717,+34,"46,021","+2,645","15,567",135,"15,210",175,"541,605","132,218","4,096,315",Europe,66,"5,713",8
71,Kyrgyzstan,"61,748",+439,"1,170",+3,"52,855",+512,"7,723",24,"9,411",178,"430,463","65,607","6,561,266",Asia,106,"5,608",15
72,Algeria,"60,800",+631,"2,024",+13,"41,510",+266,"17,266",29,"1,378",46,,,"44,123,213",Africa,726,"21,800",
73,Kenya,"60,704","+1,109","1,093",+21,"40,131",+938,"19,480",62,"1,120",20,"730,363","13,481","54,176,332",Africa,892,"49,567",74
74,Bosnia and Herzegovina,"59,427","+1,921","1,457",+49,"29,970",+281,"28,000",,"18,153",445,"336,968","102,935","3,273,603",Europe,55,"2,247",10
75,Myanmar,"59,277","+1,342","1,376",+24,"43,277","+1,099","14,624",,"1,087",25,"765,399","14,035","54,536,930",Asia,920,"39,634",71
76,Singapore,"58,047",+4,28,,"57,959",+10,60,,"9,895",5,"3,879,052","661,237","5,866,357",Asia,101,"209,513",2
77,Serbia,"57,958","+2,282",871,+10,"31,536",,"25,551",57,"6,643",100,"1,401,663","160,650","8,724,955",Europe,151,"10,017",6
78,Palestine,"57,226",+554,511,+3,"49,537",+857,"7,178",,"11,129",99,"551,948","107,343","5,141,903",Asia,90,"10,062",9
79,Denmark,"53,180","+1,427",738,+5,"38,627",+871,"13,815",23,"9,170",127,"5,666,843","977,153","5,799,338",Europe,109,"7,858",1
80,Greece,"52,254","+2,447",715,+13,"9,989",,"41,550",196,"5,022",69,"1,902,458","182,839","10,405,077",Europe,199,"14,553",5
81,Georgia,"51,993","+2,775",423,+22,"37,019","+3,560","14,551",,"13,042",106,"950,253","238,369","3,986,472",Asia,77,"9,424",4
82,Ghana,"48,788",,320,,"47,521",,947,14,"1,559",10,"543,316","17,361","31,295,076",Africa,641,"97,797",58
83,Slovenia,"42,658","+1,564",497,+26,"18,825","+1,635","23,336",169,"20,518",239,"393,813","189,421","2,079,038",Europe,49,"4,183",5
84,Afghanistan,"41,975",+40,"1,554",,"34,440",,"5,981",93,"1,070",40,"124,894","3,184","39,227,958",Asia,935,"25,243",314
85,Malaysia,"38,189","+1,755",279,+2,"26,380",+726,"11,530",83,"1,175",9,"2,238,559","68,859","32,509,474",Asia,851,"116,521",15
86,North Macedonia,"37,499","+1,127","1,096",+12,"22,835",+309,"13,568",25,"17,999",526,"265,528","127,453","2,083,344",Europe,56,"1,901",8
87,El Salvador,"34,966",+184,"1,002",+5,"30,941",+234,"3,023",55,"5,381",154,"490,212","75,445","6,497,634",North America,186,"6,485",13
88,Australia,"27,645",+11,907,,"25,428",+8,"1,310",1,"1,080",35,"9,022,562","352,411","25,602,402",Australia/Oceania,926,"28,228",3
89,S. Korea,"27,195",+145,476,+1,"24,821",+86,"1,898",50,530,9,"2,686,314","52,380","51,284,667",Asia,"1,886","107,741",19
90,Norway,"23,600",+371,285,+1,"11,863",,"11,452",16,"4,341",52,"1,786,321","328,610","5,435,996",Europe,230,"19,074",3
91,Albania,"23,210",+489,549,+6,"11,861",+165,"10,800",14,"8,068",191,"127,148","44,199","2,876,692",Europe,124,"5,240",23
92,Cameroon,"22,103",,429,,"21,151",,523,61,826,16,"149,000","5,566","26,770,983",Africa,"1,211","62,403",180
93,Montenegro,"22,079",+546,328,,"15,294",+179,"6,457",28,"35,152",522,"96,804","154,123","628,094",Europe,28,"1,915",6
94,Luxembourg,"21,806",+659,180,+3,"12,094",+575,"9,532",37,"34,641",286,"1,131,669","1,797,767","629,486",Europe,29,"3,497",1
95,Ivory Coast,"20,801",+12,126,,"20,477",+11,198,,782,5,"197,708","7,432","26,600,848",Africa,"1,279","211,118",135
96,Lithuania,"20,747","+1,656",192,+6,"5,454",+169,"15,101",64,"7,659",71,"1,080,306","398,821","2,708,749",Europe,131,"14,108",3
97,Finland,"17,385",+266,362,+1,"12,700",,"4,323",13,"3,136",65,"1,596,308","287,948","5,543,738",Europe,319,"15,314",3
98,Madagascar,"17,111",,244,,"16,409",,458,16,613,9,"89,524","3,205","27,933,282",Africa,"1,632","114,481",312
99,Zambia,"16,819",+49,349,,"15,862",+35,608,,906,19,"289,227","15,584","18,558,635",Africa,"1,103","53,177",64
100,Senegal,"15,676",+8,326,,"15,294",+21,56,1,928,19,"211,884","12,542","16,893,960",Africa,"1,078","51,822",80
101,Sudan,"13,943",,837,,"6,764",,"6,342",,315,19,,,"44,198,765",Africa,"3,170","52,806",
102,Uganda,"13,852",+284,131,+14,"7,727",+82,"5,994",,300,3,"563,835","12,197","46,228,749",Africa,"3,337","352,891",82
103,Mozambique,"13,485",+94,99,+2,"11,275",+98,"2,111",,427,3,"196,793","6,237","31,552,526",Africa,"2,340","318,712",160
104,Namibia,"13,143",+53,133,,"11,578",+140,"1,432",3,"5,141",52,"131,715","51,517","2,556,720",Africa,195,"19,223",19
105,Sri Lanka,"12,970",+400,30,+1,"7,186",+563,"5,754",,605,1,"545,043","25,416","21,444,633",Asia,"1,653","714,821",39
106,Guinea,"12,363",,73,,"10,751",,"1,539",24,933,6,"45,747","3,452","13,253,795",Africa,"1,072","181,559",290
107,Angola,"12,223",+121,300,+1,"5,626",+276,"6,297",34,368,9,"85,213","2,566","33,211,689",Africa,"2,717","110,706",390
108,Maldives,"11,932",+39,39,+1,"11,041",+31,852,12,"21,941",72,"150,743","277,194","543,818",Asia,46,"13,944",4
109,DRC,"11,517",+67,315,,"10,838",+52,364,,127,3,,,"90,482,226",Africa,"7,856","287,245",
110,Tajikistan,"11,256",+37,83,,"10,546",+52,627,,"1,171",9,,,"9,610,860",Asia,854,"115,793",
111,French Guiana,"10,647",+27,70,,"9,995",,582,1,"35,335",232,"76,357","253,412","301,316",South America,28,"4,305",4
112,French Polynesia,"9,995",+241,39,,"4,842",,"5,114",25,"35,509",139,"26,355","93,632","281,475",Australia/Oceania,28,"7,217",11
113,Jamaica,"9,426",+53,218,+1,"4,801",+56,"4,407",6,"3,178",74,"99,574","33,575","2,965,684",North America,315,"13,604",30
114,Cabo Verde,"9,224",+75,100,+3,"8,363",+74,761,23,"16,528",179,"94,729","169,741","558,081",Africa,61,"5,581",6
115,Haiti,"9,109",,232,,"7,589",,"1,288",,796,20,"33,073","2,888","11,450,658",North America,"1,257","49,356",346
116,Gabon,"9,022",+17,55,,"8,878",+32,89,10,"4,021",25,"254,291","113,338","2,243,657",Africa,249,"40,794",9
117,Zimbabwe,"8,471",+27,250,+2,"7,983",+8,238,,567,17,"166,266","11,131","14,937,621",Africa,"1,763","59,750",90
118,Guadeloupe,"7,903",,133,,"2,242",,"5,528",19,"19,750",332,"70,195","175,423","400,148",North America,51,"3,009",6
119,Botswana,"7,835",,27,,"5,534",,"2,274",1,"3,309",11,"330,611","139,622","2,367,903",Africa,302,"87,700",7
120,Mauritania,"7,804",+27,165,,"7,469",+6,170,3,"1,664",35,"89,940","19,172","4,691,219",Africa,601,"28,432",52
121,Latvia,"7,476",+357,95,+7,"1,444",,"5,937",10,"3,979",51,"487,554","259,505","1,878,786",Europe,251,"19,777",4
122,Cuba,"7,228",+44,130,+1,"6,542",+40,556,6,638,11,"891,877","78,759","11,324,186",North America,"1,567","87,109",13
123,Malta,"6,893",+129,73,+3,"4,832",+67,"1,988",15,"15,597",165,"355,515","804,414","441,955",Europe,64,"6,054",1
124,Bahamas,"6,882",,150,,"4,779",,"1,953",7,"17,443",380,"37,092","94,011","394,549",North America,57,"2,630",11
