#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent
13,Canada,"75,864","+1,251","5,679",+117,"37,819","32,366",502,"2,012",151,"1,265,502","33,568","37,700,059",North America
14,Belgium,"54,989",+345,"9,005",+46,"14,460","31,524",364,"4,747",777,"663,755","57,303","11,583,327",Europe
15,Saudi Arabia,"52,016","+2,840",302,+10,"23,666","28,048",166,"1,497",9,"548,023","15,774","34,742,883",Asia
16,Mexico,"45,032","+2,437","4,767",+290,"30,451","9,814",378,350,37,"163,691","1,271","128,759,156",North America
17,Netherlands,"43,870",+189,"5,670",+27,N/A,N/A,346,"2,561",331,"287,943","16,809","17,130,183",Europe
18,Chile,"41,428","+1,886",421,+27,"18,014","22,993",751,"2,170",22,"350,325","18,346","19,095,344",South America
19,Pakistan,"38,799","+1,581",834,+31,"10,880","27,085",111,176,4,"359,264","1,631","220,321,573",Asia
20,Ecuador,"32,763","+1,296","2,688",+94,"3,433","26,642",197,"1,861",153,"93,344","5,301","17,608,034",South America
21,Qatar,"30,972","+1,547",15,+1,"3,788","27,169",158,"10,774",5,"152,704","53,121","2,874,647",Asia
22,Switzerland,"30,572",+58,"1,879",+1,"27,400","1,293",69,"3,536",217,"339,364","39,248","8,646,621",Europe
23,Sweden,"29,677",+470,"3,674",+28,"4,971","21,032",278,"2,941",364,"177,500","17,589","10,091,340",Europe
24,Portugal,"28,810",+227,"1,203",+13,"3,822","23,785",115,"2,824",118,"600,061","58,828","10,200,306",Europe
25,Belarus,"28,681",+951,160,+4,"9,498","19,023",92,"3,035",17,"335,057","35,457","9,449,703",Europe
26,Singapore,"27,356",+465,22,+1,"8,342","18,992",16,"4,681",4,"224,262","38,371","5,844,512",Asia
27,Ireland,"24,048",+92,"1,533",+15,"19,470","3,045",69,"4,877",311,"258,808","52,489","4,930,698",Europe
28,UAE,"22,627",+796,214,+4,"7,931","14,482",1,"2,291",22,"1,560,923","158,068","9,874,985",Asia
29,Bangladesh,"20,995",+930,314,+16,"4,117","16,564",1,128,2,"167,114","1,016","164,479,603",Asia
30,Poland,"18,257",+241,915,+8,"7,175","10,167",160,482,24,"601,394","15,888","37,851,666",Europe
31,Ukraine,"17,858",+528,497,+21,"4,906","12,455",231,408,11,"220,638","5,041","43,765,128",Europe
32,Indonesia,"17,025",+529,"1,089",+13,"3,911","12,025",,62,4,"182,818",669,"273,152,851",Asia
33,Romania,"16,704",+267,"1,094",+24,"9,574","6,036",206,868,57,"303,734","15,776","19,252,967",Europe
34,Israel,"16,608",+19,268,+2,"12,855","3,485",59,"1,923",31,"498,711","57,736","8,637,807",Asia
35,Japan,"16,203",,713,,"10,338","5,152",245,128,6,"233,144","1,843","126,523,275",Asia
36,Austria,"16,201",+92,629,+1,"14,524","1,048",50,"1,800",70,"357,393","39,711","8,999,946",Europe
37,Colombia,"14,939",+723,562,+16,"3,587","10,790",136,294,11,"190,114","3,741","50,813,344",South America
38,South Africa,"14,355",+831,261,+14,"6,478","7,616",119,242,4,"439,559","7,423","59,212,004",Africa
39,Kuwait,"13,802",+942,107,+11,"3,843","9,852",169,"3,238",25,"240,716","56,475","4,262,329",Asia
40,Philippines,"12,305",+214,817,+11,"2,561","8,927",79,112,7,"215,060","1,966","109,391,934",Asia
41,Dominican Republic,"12,110",+371,428,+4,"3,726","7,956",127,"1,118",40,"50,108","4,625","10,833,998",North America
42,Egypt,"11,719",+491,612,+20,"2,950","8,157",41,115,6,"135,000","1,323","102,078,159",Africa
43,S. Korea,"11,037",+19,262,+2,"9,851",924,55,215,5,"741,145","14,457","51,263,759",Asia
44,Denmark,"10,858",+67,543,+6,"9,107","1,208",28,"1,875",94,"444,562","76,785","5,789,665",Europe
45,Serbia,"10,496",+58,228,+3,"4,479","5,789",18,"1,201",26,"174,746","19,990","8,741,609",Europe
46,Panama,"9,268",+150,266,+6,"6,080","2,922",72,"2,152",62,"47,768","11,094","4,305,867",North America
47,Czechia,"8,455",+49,296,+1,"5,422","2,737",39,790,28,"348,849","32,583","10,706,527",Europe
48,Norway,"8,237",+18,232,,32,"7,973",20,"1,521",43,"216,350","39,947","5,415,870",Europe
49,Argentina,"7,805",+326,363,+7,"2,534","4,908",170,173,8,"100,362","2,223","45,142,926",South America
50,Australia,"7,036",+17,98,,"6,362",576,16,276,4,"1,015,652","39,889","25,461,791",Australia/Oceania
51,Malaysia,"6,872",+17,113,+1,"5,512","1,247",13,213,3,"434,136","13,436","32,312,334",Asia
52,Algeria,"6,821",+192,542,+6,"3,409","2,870",22,156,12,"6,500",149,"43,746,275",Africa
53,Bahrain,"6,747",+164,12,,"2,753","3,982",3,"3,985",7,"228,573","134,996","1,693,179",Asia
54,Morocco,"6,741",+89,192,+2,"3,487","3,062",1,183,5,"85,004","2,306","36,854,173",Africa
55,Afghanistan,"6,402",+349,168,+15,745,"5,489",19,165,4,"21,967",566,"38,810,145",Asia
56,Finland,"6,286",+58,297,+4,"5,000",989,30,"1,135",54,"143,900","25,976","5,539,658",Europe
57,Moldova,"5,934",+189,207,+5,"2,344","3,383",251,"1,471",51,"20,447","5,067","4,035,100",Europe
58,Kazakhstan,"5,850",+161,34,,"2,980","2,836",31,312,2,"505,216","26,948","18,747,746",Asia
59,Ghana,"5,735",+97,29,+1,"1,754","3,952",5,185,0.9,"171,642","5,539","30,986,096",Africa
60,Nigeria,"5,621",+176,176,+5,"1,472","3,973",7,27,0.9,"32,942",160,"205,444,156",Africa
61,Oman,"5,029",+404,21,+1,"1,436","3,572",31,988,4,"61,000","11,987","5,088,900",Asia
62,Armenia,"4,283",+239,55,+3,"1,791","2,437",10,"1,446",19,"39,005","13,166","2,962,559",Asia
63,Luxembourg,"3,930",+7,104,,"3,699",127,15,"6,292",166,"60,246","96,449","624,641",Europe
64,Bolivia,"3,577",+205,164,+12,434,"2,979",3,307,14,"14,803","1,270","11,652,343",South America
65,Hungary,"3,473",+56,448,+6,"1,371","1,654",45,359,46,"131,429","13,601","9,663,324",Europe
66,Iraq,"3,260",+67,121,+4,"2,126","1,013",,81,3,"140,573","3,505","40,100,844",Asia
67,Azerbaijan,"3,138",+158,36,,"1,944","1,158",37,310,4,"226,005","22,316","10,127,539",Asia
68,Cameroon,"3,105",+151,140,+1,"1,567","1,398",28,117,5,,,"26,455,880",Africa
69,Thailand,"3,025",,56,,"2,855",114,61,43,0.8,"286,008","4,099","69,778,286",Asia
70,Greece,"2,819",+9,162,+2,"1,374","1,283",23,270,16,"126,283","12,109","10,429,161",Europe
71,Uzbekistan,"2,738",+52,11,,"2,213",514,8,82,0.3,"460,000","13,770","33,405,983",Asia
72,Guinea,"2,658",+185,16,+1,"1,133","1,509",18,203,1,"10,304",788,"13,083,829",Africa
73,Honduras,"2,460",+142,134,+1,264,"2,062",10,249,14,"5,653",572,"9,883,952",North America
74,Senegal,"2,429",+119,25,,949,"1,455",6,146,1,"24,599","1,474","16,683,471",Africa
