#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
140,Sudan,"62,057",+23,"4,929",+4,N/A,N/A,N/A,,"1,359",108,"562,941","12,327","45,668,432",Africa,736,"9,265",81,0.5,0.09,368
141,New Caledonia,"60,385",,312,,"60,011",,62,9,"207,954","1,074","98,964","340,812","290,377",Australia/Oceania,5,931,3,,,214
142,Mauritania,"58,679",,982,,"57,685",,12,,"12,057",202,"791,559","162,645","4,866,793",Africa,83,"4,956",6,,,2
143,Belize,"57,318",,672,,"56,466",,180,6,"139,644","1,637","529,147","1,289,165","410,457",North America,7,611,1,,,439
144,Cabo Verde,"55,978",+4,401,,"55,514",+2,63,23,"98,775",708,"400,982","707,546","566,722",Africa,10,"1,413",1,7,,111
145,Syria,"55,750",,"3,147",,"51,879",,724,,"3,054",172,"146,269","8,012","18,256,030",Asia,327,"5,801",125,,,40
146,Gabon,"47,588",,303,,"47,270",,15,,"20,520",131,"1,589,113","685,243","2,319,051",Africa,49,"7,654",1,,,6
147,Bhutan,"47,187","+2,131",14,,"37,034","+1,611","10,139",7,"59,980",18,"2,203,246","2,800,575","786,712",Asia,17,"56,194",0,"2,709",,"12,888"
148,Papua New Guinea,"43,615",,649,,"42,906",,60,7,"4,716",70,"249,149","26,940","9,248,228",Australia/Oceania,212,"14,250",37,,,6
149,Curaçao,"41,153",,270,,"40,306",,577,3,"248,981","1,634","494,095","2,989,334","165,286",North America,4,612,0,,,"3,491"
150,Seychelles,"40,866",,164,,"39,963",,739,,"411,007","1,649",,,"99,429",Africa,2,606,,,,"7,432"
151,Andorra,"40,328",,153,,"39,702",,473,14,"520,462","1,975","249,838","3,224,340","77,485",Europe,2,506,0,,,"6,104"
152,Burundi,"38,698",,38,,773,,"37,887",,"3,091",3,"345,742","27,615","12,519,873",Africa,324,"329,470",36,,,"3,026"
153,Mauritius,"37,210",+34,985,,"35,090",+88,"1,135",,"29,172",772,"358,675","281,199","1,275,520",Africa,34,"1,295",4,27,,890
154,Mayotte,"36,958",,187,,"2,964",,"33,807",,"129,900",657,"176,919","621,835","284,511",Africa,8,"1,521",2,,,"118,825"
155,Togo,"36,957",,272,,"36,659",,26,,"4,286",32,"723,005","83,841","8,623,488",Africa,233,"31,704",12,,,3
156,Guinea,"36,459",,440,,"35,976",,43,8,"2,649",32,"660,107","47,953","13,765,649",Africa,378,"31,286",21,,,3
157,Faeroe Islands,"34,658",,28,,"7,693",,"26,937",5,"704,531",569,"778,000","15,815,258","49,193",Europe,1,"1,757",0,,,"547,578"
158,Aruba,"34,189",,212,,"33,893",,84,2,"317,824","1,971","177,885","1,653,637","107,572",North America,3,507,1,,,781
159,Tanzania,"33,851",,803,,N/A,N/A,N/A,7,539,13,,,"62,756,770",Africa,"1,854","78,153",,,,524
160,Bahamas,"33,366",,789,,"32,244",,333,11,"83,431","1,973","229,025","572,671","399,924",North America,12,507,2,,,833
